Database of origin:,Western Washington University Planetary Spectroscopy Lab
Sample Name,White Reference ,LabIR ,Rustoleum ,Fusion ,White Reference ,White Reference ,black3 ,black30 
Viewing Geometry,i=30 e=0) az=0,i=30 e=0) az=0,i=30 e=0) az=0,i=30 e=0) az=0,i=30 e=0) az=0,i=30 e=0) az=0,i=30 e=0) az=0,i=30 e=0) az=0

Wavelength
350,1.00017476081848,0.083207368850708,0.092627577483654,7.48936757445335E-02,1.05833411216736,1.00026488304138,9.07917097210884E-02, 9.24201533198357E-02 
351,0.999552607536316,7.61381015181541E-02,8.54088217020035E-02,6.79838880896568E-02,1.0591014623642,0.999906122684479,8.45578238368034E-02, 8.54765102267265E-02 
352,0.998596787452698,7.17629194259644E-02,8.04928541183472E-02,6.27517104148865E-02,1.05808126926422,0.999376773834229,7.99457356333733E-02, 7.99829140305519E-02 
353,1.0009993314743,7.56340026855469E-02,8.33345279097557E-02,6.68712556362152E-02,1.05679738521576,0.999747157096863,8.27391594648361E-02, 8.17146897315979E-02 
354,0.998978614807129,7.57374688982964E-02,8.28403383493423E-02,6.61956593394279E-02,1.05577957630157,0.998843491077423,8.17296057939529E-02, 8.21991190314293E-02 
355,0.999588489532471,7.56152793765068E-02,8.29120054841042E-02,6.44697993993759E-02,1.05593430995941,0.999716520309448,8.17842036485672E-02, 8.18216875195503E-02 
356,1.00162100791931,7.36540034413338E-02,8.14482644200325E-02,0.062231432646513,1.0561089515686,1.00105857849121,8.13122317194939E-02, 8.02697241306305E-02 
357,1.00005829334259,6.67840912938118E-02,0.074662059545517,5.85812479257584E-02,1.0547057390213,0.999792635440826,7.63321444392204E-02, 7.71839171648026E-02 
358,0.999976992607117,6.57431036233902E-02,7.49613046646118E-02,0.057377215474844,1.0567375421524,0.999988555908203,7.55666345357895E-02, 7.50554576516151E-02 
359,1.0000501871109,6.58461824059486E-02,7.58521035313606E-02,5.75091950595379E-02,1.05868875980377,0.999661386013031,7.51937106251717E-02, 7.45104402303696E-02 
360,0.999488651752472,6.46349117159843E-02,0.074267789721489,5.76312094926834E-02,1.0589587688446,0.998955309391022,7.36410096287727E-02, 7.52291455864906E-02 
361,0.999109029769897,6.50702565908432E-02,7.45944231748581E-02,5.69990389049053E-02,1.05972957611084,1.00184464454651,7.42837265133858E-02, 7.62143805623055E-02 
362,0.999627470970154,6.23876005411148E-02,7.16651901602745E-02,5.37526980042458E-02,1.05997776985168,1.00098538398743,7.22671896219254E-02, 7.36332088708878E-02 
363,1.00026512145996,5.99012337625027E-02,6.85833245515823E-02,5.09895384311676E-02,1.06050157546997,0.999100387096405,7.01028257608414E-02, 7.09207430481911E-02 
364,1.00016498565674,6.11242689192295E-02,6.91039860248566E-02,5.15108779072762E-02,1.06166994571686,0.99958735704422,0.070626974105835, 7.15572461485863E-02 
365,0.999381422996521,6.39113560318947E-02,7.28719234466553E-02,5.33011965453625E-02,1.06091070175171,0.99936044216156,7.17553645372391E-02, 7.33119696378708E-02 
366,0.999627590179443,6.49001225829124E-02,7.35683292150497E-02,5.39364591240883E-02,1.06127882003784,1.00011777877808,7.30076506733894E-02, 7.35392794013023E-02 
367,1.00045692920685,6.34461864829063E-02,7.14338421821594E-02,5.34776635468006E-02,1.06311643123627,1.0007655620575,7.30035305023193E-02, 7.23569691181183E-02 
368,1.00030338764191,0.060957845300436,7.05062225461006E-02,5.33819682896137E-02,1.06484913825989,0.999140858650208,7.06034153699875E-02, 7.14903846383095E-02 
369,0.99976372718811,6.11706264317036E-02,7.12465196847916E-02,5.32476678490639E-02,1.06341576576233,0.999014377593994,7.14636370539665E-02, 0.071065329015255 
370,0.999543130397797,6.21560774743557E-02,7.16901645064354E-02,5.35207130014896E-02,1.06267929077148,0.999416887760162,7.24155455827713E-02, 7.08851665258408E-02 
371,0.999740064144135,6.22356720268726E-02,7.06722140312195E-02,5.36413975059986E-02,1.06396126747131,0.999605655670166,0.071255587041378, 7.04396292567253E-02 
372,0.999557733535767,6.10981695353985E-02,6.84980824589729E-02,5.14262951910496E-02,1.06382989883423,0.999994337558746,6.85061812400818E-02, 6.88108429312706E-02 
373,1.00005924701691,5.98448924720287E-02,6.86033219099045E-02,5.09320013225079E-02,1.06383073329926,0.999987423419952,6.83515593409538E-02, 0.068295419216156 
374,1.00060963630676,5.80883622169495E-02,6.75793886184692E-02,4.99365031719208E-02,1.06437420845032,1.00011968612671,6.79040178656578E-02, 6.76857158541679E-02 
375,1.00047016143799,5.57942800223827E-02,6.32007420063019E-02,4.67302724719048E-02,1.065300822258,1.00068593025208,6.46819993853569E-02, 6.58974573016167E-02 
376,1.00011491775513,5.56942299008369E-02,6.43773078918457E-02,4.78384532034397E-02,1.06546545028687,0.999955952167511,6.49548545479774E-02, 6.58836290240288E-02 
377,1.0002201795578,5.58649972081184E-02,6.52798712253571E-02,4.79562319815159E-02,1.06528067588806,0.999642491340637,6.51514381170273E-02, 6.54896795749664E-02 
378,1.00053668022156,5.57040981948376E-02,0.064732700586319,4.70707267522812E-02,1.06534838676453,0.999712705612183,6.50294274091721E-02, 0.06502415984869 
379,1.00031507015228,0.055511899292469,6.46975636482239E-02,4.82429005205631E-02,1.06616079807281,0.999135732650757,6.62341415882111E-02, 6.61120191216469E-02 
380,1.00032901763916,5.47496639192104E-02,6.47063255310059E-02,4.75107803940773E-02,1.06606936454773,0.99926495552063,6.54305517673492E-02, 6.62893056869507E-02 
381,0.999896466732025,5.45977428555489E-02,0.06470887362957,0.047215647995472,1.06637740135193,0.999550580978394,6.50103688240051E-02, 6.59135207533836E-02 
382,0.999146342277527,5.53774535655975E-02,6.47952184081078E-02,4.81639467179775E-02,1.06733512878418,0.999560058116913,6.59672096371651E-02, 6.55849203467369E-02 
383,0.999804675579071,5.58426715433598E-02,6.53441846370697E-02,4.75502423942089E-02,1.06692409515381,0.999401867389679,6.60323053598404E-02, 6.57356828451157E-02 
384,0.999444007873535,5.47752380371094E-02,6.34134411811829E-02,0.046381950378418,1.06697952747345,0.999649286270142,6.49667009711266E-02, 0.064828522503376 
385,0.999277651309967,5.41127994656563E-02,0.062137097120285,4.60899323225021E-02,1.06757378578186,0.999876260757446,6.42651095986366E-02, 6.42978549003601E-02 
386,1.00051009654999,5.54214827716351E-02,6.41543492674828E-02,4.72478196024895E-02,1.06819415092468,0.999634563922882,6.50118589401245E-02, 6.53445422649384E-02 
387,1.00008177757263,5.52401691675186E-02,6.32343515753746E-02,4.67706024646759E-02,1.06814301013947,0.999582767486572,6.46744593977928E-02, 6.49653300642967E-02 
388,0.999855697154999,5.35053610801697E-02,6.13531656563282E-02,4.52137738466263E-02,1.06854593753815,0.999646902084351,0.063205249607563, 6.35310113430023E-02 
389,0.999885857105255,5.17228953540325E-02,6.01767674088478E-02,4.39247339963913E-02,1.06896471977234,0.999768793582916,0.061621617525816, 6.21335841715336E-02 
390,0.999049961566925,5.21228574216366E-02,6.07163906097412E-02,4.44511435925961E-02,1.06809830665588,0.999888479709625,6.14733137190342E-02, 6.21312409639359E-02 
391,0.999252021312714,5.23998960852623E-02,6.08106441795826E-02,4.46311943233013E-02,1.06865191459656,0.99969083070755,6.16542771458626E-02, 6.23918958008289E-02 
392,0.999608874320984,5.27547188103199E-02,0.061107762157917,4.49332818388939E-02,1.06902754306793,0.999265730381012,6.23613744974136E-02, 6.29306137561798E-02 
